date,ip,cvss,asn,size
2025-09-29,10.0.2.136,3.0,65000,256
2025-09-29,10.0.2.44,3.0,65000,256
2025-09-30,10.0.2.232,3.0,65000,256
2025-09-30,10.0.2.4,3.0,65000,256
2025-10-01,10.0.2.155,3.0,65000,256
2025-10-01,10.0.2.42,3.0,65000,256
2025-10-02,10.0.2.234,3.0,65000,256
2025-10-02,10.0.2.52,3.0,65000,256
2025-10-03,10.0.2.50,3.0,65000,256
2025-10-03,10.0.2.98,3.0,65000,256
2025-10-04,10.0.2.190,3.0,65000,256
2025-10-04,10.0.2.255,3.0,65000,256
2025-10-05,10.0.2.108,3.0,65000,256
2025-10-05,10.0.2.137,3.0,65000,256
2025-10-07,10.0.2.237,3.0,65000,256
2025-10-07,10.0.2.78,3.0,65000,256
2025-10-08,10.0.2.248,3.0,65000,256
2025-10-08,10.0.2.38,3.0,65000,256
2025-10-09,10.0.2.132,3.0,65000,256
2025-10-09,10.0.2.157,3.0,65000,256
2025-10-10,10.0.2.151,3.0,65000,256
2025-10-10,10.0.2.236,3.0,65000,256
2025-10-13,10.0.2.145,3.0,65000,256
2025-10-13,10.0.2.20,3.0,65000,256
2025-10-14,10.0.2.116,3.0,65000,256
2025-10-14,10.0.2.15,3.0,65000,256
2025-10-15,10.0.2.192,3.0,65000,256
2025-10-15,10.0.2.204,3.0,65000,256
2025-10-16,10.0.2.146,3.0,65000,256
2025-10-16,10.0.2.239,3.0,65000,256
2025-10-17,10.0.2.164,3.0,65000,256
2025-10-17,10.0.2.234,3.0,65000,256
2025-10-18,10.0.2.178,3.0,65000,256
2025-10-18,10.0.2.214,3.0,65000,256
2025-10-19,10.0.2.139,3.0,65000,256
2025-10-19,10.0.2.75,3.0,65000,256
2025-10-20,10.0.2.46,3.0,65000,256
2025-10-20,10.0.2.47,3.0,65000,256
2025-10-21,10.0.2.117,3.0,65000,256
2025-10-21,10.0.2.72,3.0,65000,256
2025-10-22,10.0.2.116,3.0,65000,256
2025-10-22,10.0.2.164,3.0,65000,256
2025-10-23,10.0.2.221,3.0,65000,256
2025-10-23,10.0.2.39,3.0,65000,256
2025-10-24,10.0.2.74,3.0,65000,256
2025-10-24,10.0.2.88,3.0,65000,256
2025-10-25,10.0.2.172,3.0,65000,256
2025-10-25,10.0.2.68,3.0,65000,256
2025-10-26,10.0.2.150,3.0,65000,256
2025-10-26,10.0.2.230,3.0,65000,256
2025-10-28,10.0.2.112,3.0,65000,256
2025-10-28,10.0.2.190,3.0,65000,256
2025-10-30,10.0.2.127,3.0,65000,256
2025-10-30,10.0.2.184,3.0,65000,256
2025-10-31,10.0.2.124,3.0,65000,256
2025-10-31,10.0.2.190,3.0,65000,256
2025-11-02,10.0.2.150,3.0,65000,256
2025-11-02,10.0.2.183,3.0,65000,256
2025-11-03,10.0.2.163,3.0,65000,256
2025-11-03,10.0.2.250,3.0,65000,256
2025-11-04,10.0.2.146,3.0,65000,256
2025-11-04,10.0.2.23,3.0,65000,256
2025-11-06,10.0.2.226,3.0,65000,256
2025-11-06,10.0.2.80,3.0,65000,256
2025-11-07,10.0.2.67,3.0,65000,256
2025-11-07,10.0.2.68,3.0,65000,256
2025-11-09,10.0.2.190,3.0,65000,256
2025-11-09,10.0.2.67,3.0,65000,256
2025-11-10,10.0.2.187,3.0,65000,256
2025-11-10,10.0.2.81,3.0,65000,256
2025-11-11,10.0.2.107,3.0,65000,256
2025-11-11,10.0.2.120,3.0,65000,256
2025-11-13,10.0.2.29,3.0,65000,256
2025-11-13,10.0.2.31,3.0,65000,256
2025-11-15,10.0.2.207,3.0,65000,256
2025-11-15,10.0.2.23,3.0,65000,256
2025-11-17,10.0.2.69,3.0,65000,256
2025-11-17,10.0.2.71,3.0,65000,256
2025-11-18,10.0.2.198,3.0,65000,256
2025-11-18,10.0.2.254,3.0,65000,256
2025-11-19,10.0.2.145,3.0,65000,256
2025-11-19,10.0.2.201,3.0,65000,256
2025-11-20,10.0.2.213,3.0,65000,256
2025-11-20,10.0.2.246,3.0,65000,256
2025-11-21,10.0.2.223,3.0,65000,256
2025-11-21,10.0.2.237,3.0,65000,256
2025-11-22,10.0.2.156,3.0,65000,256
2025-11-22,10.0.2.253,3.0,65000,256
2025-11-23,10.0.2.252,3.0,65000,256
2025-11-23,10.0.2.73,3.0,65000,256
2025-11-25,10.0.2.45,3.0,65000,256
2025-11-25,10.0.2.56,3.0,65000,256
2025-11-27,10.0.2.151,3.0,65000,256
2025-11-27,10.0.2.88,3.0,65000,256
2025-11-28,10.0.2.162,3.0,65000,256
2025-11-28,10.0.2.174,3.0,65000,256
